"175","成功鎮","2013","286275","120261","166765","201194"
"177","文山區","2013","84759103","62116696","95698188","67848041"
"178","斗六市","2013","0","0","0","0"
"179","斗南鎮","2013","1048766","470218","910015","1218038"
"180","新化區","2013","776480","1465401","1275048","955893"
"181","新園鄉","2013","297621","315792","441395","293523"
"182","新城鄉","2013","631254","561452","1635810","633689"
"183","新埔鎮","2013","473955","321549","228262","240905"
"184","新埤鄉","2013","9162","2152","10264","41855"
"186","新屋區","2013","2542470","1395423","3180761","5562630"
"188","新市區","2013","0","0","0","0"
"189","新店區","2013","66552259","61877682","91737616","78254485"
"190","新港鄉","2013","168953","311299","249955","745739"
"191","新營區","2013","4780310","5850626","7266141","5655741"
"192","新社區","2013","1026385","172303","187080","209284"
"193","新興區","2013","1637659","1251067","2547143","2593548"
"194","新莊區","2013","98547149","98038078","122907139","118342506"
"195","新豐鄉","2013","2553114","2261167","4031472","3468100"
"196","旗山區","2013","988155","619032","659816","548309"
"197","旗津區","2013","273948","74448","204426","224208"
"200","春日鄉","2013","0","0","0","0"
"202","暖暖區","2013","2978123","3155868","19551317","6978632"
"203","望安鄉","2013","0","0","0","0"
"204","朴子市","2013","0","0","0","0"
"206","杉林區","2013","0","0","0","0"
"208","東勢區","2013","1770723","1609167","1449173","1201972"
"209","東勢鄉","2013","61396","15015","34235","50126"
"210","東區","2013","32103236","30880322","37793822","35763288"
"212","東山區","2013","114380","107077","110409","57361"
"213","東引鄉","2013","5103","0","1865","0"
"215","東河鄉","2013","122308","50404","129721","21374"
"216","東港鎮","2013","2354008","2865398","2958753","2419175"
"217","東石鄉","2013","23484","35966","38481","0"
"218","松山區","2013","49139797","51489651","74979227","56597399"
"220","板橋區","2013","114493149","130950263","175977591","146745260"
"221","枋寮鄉","2013","354369","291725","302779","257117"
"222","枋山鄉","2013","4746","0","0","0"
"223","林內鄉","2013","87107","116719","79963","104011"
"224","林口區","2013","66018604","70295779","90414312","56097009"
"225","林園區","2013","1649262","1407298","3629420","1359783"
"226","林邊鄉","2013","110438","111767","217772","116327"
"227","柳營區","2013","94496","262952","301716","374069"
"228","桃園區","2013","104284551","94185066","137724192","132096774"
"229","桃源區","2013","0","0","0","0"
"230","梅山鄉","2013","77641","93651","104864","143687"
"231","梓官區","2013","992882","719484","757522","406258"
"232","梧棲區","2013","3540818","2717569","4724083","4981648"
"233","楊梅區","2013","13451146","16969690","20203804","18606672"
"234","楠梓區","2013","24541237","23871552","36164916","29469033"
"235","楠西區","2013","220588","196941","228333","278863"
"236","樹林區","2013","20404863","20434891","29983167","23255639"
"237","橋頭區","2013","3124449","1771065","3334769","1917368"
"238","橫山鄉","2013","220962","86286","90709","49885"
"242","歸仁區","2013","5795296","4889857","5157649","4205273"
"243","民雄鄉","2013","2591603","2391927","3795286","3565064"
"244","水上鄉","2013","982229","399586","770406","328997"
"245","水林鄉","2013","172936","24012","106669","75959"
"246","水里鄉","2013","111137","238360","225736","397294"
"247","永和區","2013","52516303","37303038","51171450","45924624"
"248","永安區","2013","92564","88821","70878","20589"
"249","永康區","2013","32659214","33707864","43191633","30023649"
"250","永靖鄉","2013","1185295","1156183","878624","269419"
"251","汐止區","2013","84815460","64466038","87083433","63551521"
"254","池上鄉","2013","137899","243591","270530","155600"
"255","沙鹿區","2013","16432799","15815673","16803097","12259545"
"256","泰安鄉","2013","0","0","0","0"
"257","泰山區","2013","8765826","8718317","24484906","32552942"
"258","泰武鄉","2013","0","0","0","0"
"259","海端鄉","2013","0","0","0","0"
"260","淡水區","2013","162437992","81170637","109334927","113167253"
"261","深坑區","2013","2196946","2404589","2587860","2855415"
"262","清水區","2013","4158010","4428886","7164595","3600630"
"266","湖內區","2013","2195639","1519081","1860119","1575383"
"267","湖口鄉","2013","3229217","3430261","4791275","2651354"
"268","湖西鄉","2013","0","0","0","0"
"269","溪口鄉","2013","52980","16014","59789","35760"
"270","溪州鄉","2013","221143","264879","318298","579274"
"271","溪湖鎮","2013","1628351","1594821","3632925","3721880"
"272","滿州鄉","2013","33619","68029","11042","27641"
"273","潭子區","2013","9690783","8062057","13850846","10190787"
"274","潮州鎮","2013","4039823","2975470","4073807","4000962"
"275","烈嶼鄉","2013","2982","6763","0","0"
"276","烏來區","2013","0","0","5200","8921"
"277","烏坵鄉","2013","0","0","0","0"
"278","烏日區","2013","10453364","6223636","12082516","12129270"
"279","燕巢區","2013","972768","528472","888790","852695"
"280","牡丹鄉","2013","0","0","0","0"
"282","獅子鄉","2013","0","0","0","0"
"283","獅潭鄉","2013","0","0","0","0"
"284","玉井區","2013","88595","354509","216580","197611"
"285","玉里鎮","2013","596294","346101","810430","563841"
"286","琉球鄉","2013","192746","228034","219681","205512"
