彰化縣,芳苑鄉,276,2,359
苗栗縣,苑裡鎮,615,3,801
高雄市,苓雅區,3354,1,4495
苗栗縣,苗栗市,1705,0,2341
高雄市,茂林區,3,0,3
高雄市,茄萣區,252,0,360
南投縣,草屯鎮,1805,0,2326
雲林縣,莿桐鄉,178,1,225
屏東縣,萬丹鄉,145,1,187
屏東縣,萬巒鄉,37,1,47
花蓮縣,萬榮鄉,10,0,13
臺北市,萬華區,1254,1,1480
新北市,萬里區,95,1,115
新北市,蘆洲區,1617,1,2193
桃園市,蘆竹區,1958,0,2564
宜蘭縣,蘇澳鎮,415,1,510
臺東縣,蘭嶼鄉,9,0,22
雲林縣,虎尾鎮,1654,1,2200
雲林縣,褒忠鄉,96,1,123
臺中市,西區,4689,0,6116
臺中市,西屯區,6508,0,8481
澎湖縣,西嶼鄉,21,1,30
臺南市,西港區,235,1,297
苗栗縣,西湖鄉,26,2,30
雲林縣,西螺鎮,545,1,700
桃園市,觀音區,508,0,627
臺中市,豐原區,1315,1,1737
花蓮縣,豐濱鄉,44,0,64
新北市,貢寮區,40,0,56
高雄市,路竹區,947,1,1312
屏東縣,車城鄉,21,0,26
苗栗縣,通霄鎮,272,1,348
苗栗縣,造橋鄉,99,1,133
臺東縣,達仁鄉,59,1,81
高雄市,那瑪夏,7,0,9
屏東縣,里港鄉,70,1,85
金門縣,金城鎮,306,2,414
金門縣,金寧鄉,220,1,303
新北市,金山區,118,2,146
臺東縣,金峰鄉,4,0,4
金門縣,金沙鎮,45,1,62
金門縣,金湖鎮,138,0,182
苗栗縣,銅鑼鄉,177,0,230
屏東縣,長治鄉,116,1,150
臺東縣,長濱鄉,45,1,58
臺東縣,關山鎮,83,1,116
臺南市,關廟區,119,1,160
新竹縣,關西鎮,285,1,355
高雄市,阿蓮區,375,1,504
嘉義縣,阿里山,67,0,94
南投縣,集集鎮,121,1,158
新北市,雙溪區,38,1,45
屏東縣,霧臺鄉,2,0,2
臺中市,霧峰區,1188,1,1641
苗栗縣,頭份市,1400,1,1820
苗栗縣,頭份鎮,5,0,9
宜蘭縣,頭城鎮,404,1,530
苗栗縣,頭屋鄉,74,0,93
新竹市,香山區,556,0,583
澎湖縣,馬公市,720,1,1031
屏東縣,高樹鄉,38,1,55
南投縣,魚池鄉,183,1,216
高雄市,鳥松區,1209,1,1606
高雄市,鳳山區,6010,1,8369
花蓮縣,鳳林鎮,116,0,159
新北市,鶯歌區,876,1,1121
屏東縣,鹽埔鄉,55,1,76
高雄市,鹽埕區,383,0,543
臺南市,鹽水區,177,1,229
彰化縣,鹿港鎮,1000,0,1311
嘉義縣,鹿草鄉,135,1,165
南投縣,鹿谷鄉,84,0,113
臺東縣,鹿野鄉,89,1,125
屏東縣,麟洛鄉,50,1,68
雲林縣,麥寮鄉,527,4,702
臺南市,麻豆區,555,0,740
高雄市,鼓山區,2010,1,2755
臺中市,龍井區,1324,1,1811
臺南市,龍崎區,13,1,14
桃園市,龍潭區,1596,0,2017
桃園市,龜山區,2649,1,3500
