鄉鎮市區名稱,0-14歲人口數,15-64歲人口數,65歲以上人口數,男性總數,女性總數,人口密度
楊梅區,25852,125112,18095,85111,83948,1880.986817
楠西區,805,6689,2144,5099,4539,88.6332043
楠梓區,26346,136898,21235,90516,93963,7114.5209
溪口鄉,1118,10170,3419,7874,6833,446.3737241
溪州鄉,3329,20815,5729,15604,14269,396.4078016
溪湖鎮,8457,39628,7430,28124,27391,1736.974098
獅子鄉,601,3806,553,2550,2410,15.96668193
獅潭鄉,294,2927,1165,2450,1936,55.60703189
瑞芳區,3794,29462,6895,20267,19884,570.4926654
瑞穗鄉,1092,8153,2476,6320,5401,85.94532482
義竹鄉,1186,12627,4564,9556,8821,233.1368036
萬丹鄉,5584,37446,7709,26341,24398,886.3208852
萬里區,2167,16135,3849,11130,11021,351.8017691
萬華區,21250,133958,35335,93512,97031,21672.57857
萬榮鄉,933,4976,550,3405,3054,10.32189636
萬巒鄉,2039,14692,3849,10736,9844,338.4734446
路竹區,6992,37796,7817,26848,25757,1089.320076
達仁鄉,365,2825,430,1962,1658,11.48002222
鼓山區,20777,99571,19345,67327,72366,9439.816164
壽豐鄉,1664,12949,3431,9585,8459,82.59752578
彰化市,33606,166236,33019,115018,117843,3556.040289
旗山區,3600,25663,7551,19023,17791,390.4359057
旗津區,2786,21476,4355,14749,13868,19648.20001
滿州鄉,634,5996,1383,4336,3677,55.1331106
瑪家鄉,942,5110,746,3445,3353,85.71704481
福興鄉,5891,34588,6718,24615,22582,948.6625486
綠島鄉,406,3272,434,2185,1927,260.1395451
臺西鄉,2130,17199,4604,12823,11110,442.7865571
臺東市,13998,76393,15343,52895,52839,965.2989776
銅鑼鄉,1953,12722,3354,9599,8430,231.4095981
鳳山區,47148,265780,46212,175979,183161,13420.53141
鳳林鎮,926,7329,2655,5670,5240,90.1192435
潭子區,15427,81973,11148,53624,54924,4189.139526
潮州鎮,5713,40075,8236,26985,27039,1281.476018
線西鄉,2215,12394,2301,8664,8246,935.9932764
褒忠鄉,1250,9178,2603,6996,6035,351.0978216
學甲區,2469,18930,4429,13202,12626,482.9983757
樹林區,25444,138483,19695,91483,92139,5558.577431
橋頭區,4021,27583,6015,19070,18549,1448.806573
橫山鄉,1248,8963,2799,7053,5957,196.8946589
燕巢區,2901,22002,4904,15689,14118,457.5579173
頭份市,15775,74488,12701,51991,50973,1934.471732
頭城鎮,3143,21138,4926,15058,14149,291.3779945
頭屋鄉,1070,7683,2062,5738,5077,206.4581008
龍井區,11593,58012,8286,39178,38713,2045.812444
龍崎區,209,2756,1038,2153,1850,63.01360457
龍潭區,17224,90573,14852,61407,61242,1619.239148
龜山區,23044,118591,17452,79222,79865,2188.80914
彌陀區,2167,14111,3026,9905,9399,1311.682863
礁溪鄉,3637,25939,6054,18523,17107,352.7336687
歸仁區,8947,51205,8312,34699,33765,1226.427776
豐原區,24553,120622,21872,82459,84588,4051.985577
豐濱鄉,316,3504,940,2637,2123,26.98339995
雙溪區,655,5977,2257,4806,4083,61.12203621
羅東鎮,12030,49929,10531,34328,38162,6374.638601
關山鎮,960,6114,1665,4538,4201,148.8377478
關西鎮,2972,19985,5831,15394,13394,230.2116089
關廟區,3437,24993,5981,17751,16660,641.9121088
霧峰區,8281,48201,9117,33200,32399,666.7455156
霧臺鄉,359,2527,460,1713,1633,11.64292171
寶山鄉,1307,11209,2162,7924,6754,224.5817454
蘆竹區,28282,120163,14787,81031,82201,2144.458793
蘆洲區,26927,154919,19175,98722,102299,27075.49327
蘇澳鎮,4132,28474,7338,20351,19593,449.9683216
蘭嶼鄉,737,3970,374,2575,2506,104.8787746
鶯歌區,11629,65055,9588,43235,43037,4099.115731
麟洛鄉,852,8124,2114,5737,5353,681.1808118
鹽水區,2528,18051,4908,13300,12187,489.6689667
鹽埔鄉,2567,19061,4189,13428,12389,403.9981787
鹽埕區,1920,17121,5158,11988,12211,17102.60575
觀音區,9349,49386,8086,34755,32066,755.5293377
